trump,video,female,pid,age,educ
15,0,1,0,68,13
15,4,0,1,53,10
0,4,1,0,35,8
40,4,0,0,57,8
100,1,0,4,75,8
50,2,0,5,60,13
85,1,1,6,57,12
15,4,1,2,48,9
50,1,1,4,34,12
70,0,0,6,87,13
100,0,1,0,66,8
0,2,1,2,36,12
0,4,0,2,37,15
0,1,0,1,49,11
0,4,1,4,31,8
30,1,0,4,34,12
0,4,1,2,34,11
70,1,0,2,54,13
60,2,0,6,35,8
15,3,1,5,74,9
0,3,0,2,33,12
0,4,1,3,60,11
60,1,1,4,71,10
0,4,1,0,59,12
30,4,1,2,80,8
15,4,1,0,52,13
15,3,1,0,31,9
60,1,0,5,43,10
0,4,0,0,51,12
50,2,1,3,37,2
50,2,0,3,31,7
15,4,1,1,43,9
85,2,0,3,54,8
0,4,1,0,37,12
0,3,0,2,67,12
60,2,0,5,50,13
60,2,0,2,64,12
0,2,0,1,37,13
30,3,1,2,50,13
0,4,0,2,74,12
70,2,0,6,53,12
70,3,0,6,66,12
70,0,0,4,47,8
0,4,0,3,37,12
60,0,0,4,38,8
60,1,0,4,31,9
70,2,0,5,71,8
70,1,1,1,30,10
15,1,0,2,30,10
85,0,1,6,46,12
100,1,1,6,68,13
60,0,0,6,57,11
0,4,1,0,67,8
0,4,1,0,18,8
0,3,0,0,67,13
0,0,0,0,40,9
70,1,0,0,37,9
15,4,0,1,77,15
0,3,1,3,56,12
85,0,1,4,47,11
15,4,1,0,75,8
0,3,0,0,71,13
30,3,1,2,67,12
40,1,0,4,26,8
15,3,1,5,25,12
30,3,1,4,31,14
0,4,1,0,27,9
0,3,1,3,38,9
0,4,1,0,39,12
70,1,1,6,74,9
0,4,1,0,63,9
60,1,1,5,18,7
70,2,0,2,65,10
60,1,0,4,85,13
15,4,1,3,53,11
100,0,0,6,66,9
0,4,1,0,89,2
85,2,1,6,55,13
0,4,1,2,47,13
40,4,0,1,66,8
60,1,0,1,66,7
60,1,1,3,37,10
50,0,1,6,83,13
60,1,0,4,23,8
85,0,1,6,22,10
60,2,1,6,42,11
0,4,1,0,27,13
0,4,1,0,79,9
0,4,1,0,30,13
40,4,0,1,55,8
0,2,1,0,22,8
100,1,0,4,46,8
30,4,0,4,36,8
0,4,0,2,29,9
70,1,0,6,35,13
0,4,1,1,23,9
40,3,1,6,26,8
15,1,1,2,51,13
85,0,0,5,75,8
20,1,1,6,56,12
0,4,1,0,67,9
85,0,0,5,49,8
85,2,1,6,61,8
100,0,0,6,25,9
0,3,1,0,45,13
30,2,0,5,74,11
85,1,1,6,61,9
10,4,0,5,31,12
60,1,1,5,62,8
70,1,1,5,82,7
30,3,0,0,20,9
70,0,1,3,61,13
40,2,0,1,47,13
70,2,0,2,54,5
30,0,1,3,70,11
70,0,1,2,28,10
10,0,1,4,45,8
0,4,0,0,60,9
60,1,0,4,74,12
0,4,0,2,33,14
30,3,0,3,52,8
9,4,0,2,31,8
15,2,0,4,57,9
85,0,1,5,60,12
40,0,0,4,25,8
0,1,0,6,74,8
15,1,1,4,42,9
50,1,0,5,46,12
0,4,1,0,50,13
70,1,0,4,59,9
50,2,0,4,56,9
50,0,0,3,61,7
